interview_id,application_id,interview_round,interview_date,feedback
1,230904,5,2023-08-19,Average
2,262015,4,2022-03-08,Good
3,321364,5,2020-07-05,Good
4,415085,2,2022-03-25,Good
5,146705,1,2020-05-29,Poor
6,102530,3,2020-02-10,Average
7,196018,5,2023-02-06,Average
8,203255,4,2023-10-27,Excellent
9,453562,4,2020-04-09,Good
10,348604,5,2022-08-14,Excellent
11,426374,1,2021-08-26,Good
12,103510,3,2021-09-03,Good
13,189914,1,2020-04-14,Poor
14,192967,5,2022-06-06,Average
15,415193,2,2021-06-27,Good
16,252540,2,2022-06-25,Good
17,183780,3,2023-12-31,Good
18,353522,2,2020-05-09,Good
19,72729,2,2023-07-22,Excellent
20,448532,3,2023-09-25,Poor
21,443147,2,2023-09-03,Excellent
22,339207,1,2021-01-15,Excellent
23,49110,1,2020-06-25,Good
24,42267,2,2020-01-16,Average
25,157172,5,2020-09-25,Good
26,145496,4,2020-12-15,Average
27,331670,5,2023-07-27,Poor
28,224177,1,2021-06-24,Good
29,376447,4,2022-07-26,Average
30,394878,5,2020-04-27,Average
31,373655,5,2021-01-15,Average
32,180474,5,2020-07-22,Poor
33,392998,1,2023-08-31,Excellent
34,297653,2,2022-07-05,Average
35,37218,5,2020-01-20,Excellent
36,480520,5,2023-05-21,Poor
37,166087,4,2022-07-13,Excellent
38,121217,2,2023-06-05,Excellent
39,454324,3,2021-06-07,Excellent
40,109328,5,2022-06-30,Excellent
41,356832,1,2022-11-01,Good
42,261142,4,2023-09-09,Poor
43,489592,4,2021-09-27,Excellent
44,28328,3,2021-12-21,Excellent
45,307995,2,2021-12-26,Good
46,129503,1,2020-06-09,Good
47,304516,3,2023-07-22,Good
48,494451,5,2022-04-16,Poor
49,223632,4,2020-10-16,Excellent
50,495681,3,2023-11-01,Poor
51,197992,2,2021-08-30,Good
52,365981,5,2020-01-09,Good
53,427505,1,2022-09-03,Average
54,52477,3,2023-06-29,Good
55,379219,3,2020-08-22,Excellent
56,236602,2,2021-07-01,Good
57,39294,3,2020-05-09,Poor
58,308993,5,2021-01-21,Average
59,340718,3,2023-05-01,Excellent
60,50691,1,2021-03-02,Good
61,126127,1,2022-07-11,Average
62,144459,5,2020-09-16,Good
63,63841,2,2022-06-22,Excellent
64,79646,1,2021-05-11,Good
65,409850,1,2020-09-27,Poor
66,9345,2,2022-02-09,Poor
67,478674,4,2020-02-29,Average
68,229402,5,2023-02-23,Average
69,108615,1,2021-05-29,Poor
70,114,2,2023-07-13,Poor
71,390616,2,2021-12-10,Poor
72,445841,5,2023-03-10,Average
73,348539,3,2023-08-19,Good
74,391454,4,2022-06-04,Good
75,295712,2,2020-07-11,Poor
76,159310,2,2020-10-27,Poor
77,271744,4,2022-08-23,Average
78,63565,2,2022-05-09,Poor
79,182730,1,2020-03-25,Poor
80,21099,3,2022-01-10,Excellent
81,20589,5,2020-04-01,Average
82,139008,1,2020-05-30,Good
83,156400,4,2020-05-22,Excellent
84,483331,5,2023-11-17,Average
85,117894,5,2022-08-31,Good
86,112570,2,2022-07-20,Average
87,216941,5,2020-12-16,Poor
88,233160,4,2023-01-08,Good
89,269169,2,2022-02-15,Excellent
90,158995,2,2023-03-15,Good
91,164475,4,2022-02-21,Good
92,246707,2,2021-08-09,Poor
93,71843,3,2023-05-09,Excellent
94,378229,4,2020-11-11,Good
95,134187,2,2020-10-04,Excellent
96,471966,3,2022-08-27,Good
97,354121,1,2020-06-22,Poor
98,353273,1,2021-03-22,Poor
99,174347,3,2023-03-12,Average
100,379942,5,2023-03-15,Excellent
101,272639,1,2022-10-29,Average
102,117439,4,2021-10-12,Average
103,15333,5,2021-07-05,Poor
104,357621,2,2021-08-07,Poor
105,462883,1,2020-01-07,Excellent
106,123339,4,2022-08-25,Excellent
107,406836,3,2020-11-12,Poor
108,159620,1,2021-10-15,Poor
109,324733,4,2021-11-21,Good
110,305881,2,2023-04-14,Excellent
111,463844,2,2020-04-14,Average
112,256367,2,2023-12-26,Excellent
113,148630,3,2020-10-03,Average
114,489583,3,2022-07-18,Excellent
115,149510,5,2020-11-26,Poor
116,365563,4,2023-09-29,Poor
117,29265,5,2023-02-10,Good
118,415640,5,2021-10-16,Good
119,228094,3,2020-06-07,Good
120,40984,3,2022-12-15,Excellent
121,338760,3,2022-11-28,Average
122,438163,4,2020-09-25,Average
123,291971,4,2023-11-16,Poor
124,156012,1,2023-07-24,Poor
125,485626,3,2023-04-18,Good
126,123886,3,2021-07-28,Good
127,496350,1,2023-08-11,Good
128,309388,3,2023-04-08,Excellent
129,378544,3,2022-02-20,Poor
130,16979,3,2020-04-01,Good
131,87776,3,2023-08-09,Poor
132,441927,5,2022-11-25,Poor
133,133108,4,2022-01-10,Poor
134,56123,2,2023-04-14,Excellent
135,204414,2,2023-09-26,Excellent
136,422620,3,2021-08-04,Poor
137,482854,1,2022-04-29,Average
138,101054,3,2020-07-09,Good
139,360539,5,2023-11-07,Average
140,146852,5,2023-10-07,Excellent
141,314228,2,2022-08-06,Poor
142,175582,5,2021-02-03,Excellent
143,42907,2,2020-02-22,Average
144,205241,1,2021-10-17,Good
145,193991,2,2020-10-28,Average
146,256742,3,2020-12-26,Good
147,186421,2,2020-02-09,Excellent
148,125021,3,2020-02-21,Good
149,145959,2,2020-12-16,Good
150,341926,3,2020-03-31,Poor
151,232278,4,2020-04-25,Poor
152,430818,1,2020-10-04,Good
153,340321,5,2022-10-15,Good
154,351553,1,2020-11-19,Poor
155,357065,5,2021-08-02,Poor
156,228175,3,2021-01-11,Good
157,232845,5,2022-02-16,Excellent
158,76885,1,2023-07-12,Average
159,257023,3,2022-03-29,Excellent
160,53977,5,2023-10-16,Average
161,418782,3,2021-06-22,Poor
162,114542,4,2021-04-22,Excellent
163,40525,3,2022-01-11,Poor
164,164093,4,2021-05-14,Good
165,146030,3,2021-02-08,Excellent
166,195919,2,2022-09-21,Average
167,12881,5,2023-08-18,Excellent
168,152545,1,2022-12-25,Average
169,487,3,2020-05-27,Excellent
170,455180,3,2020-02-13,Good
171,90783,1,2023-12-22,Excellent
172,161582,3,2021-05-11,Excellent
173,327392,1,2020-12-05,Poor
174,53893,2,2020-02-17,Average
175,141377,4,2023-08-14,Excellent
176,230959,5,2021-07-31,Poor
177,234735,2,2022-04-04,Good
178,237560,1,2022-10-05,Poor
179,118116,2,2022-05-19,Poor
180,205644,1,2021-02-22,Average
181,319595,1,2022-09-20,Poor
182,121277,5,2020-08-05,Average
183,425868,4,2021-12-05,Excellent
184,418932,3,2020-04-18,Excellent
185,76174,1,2023-09-11,Average
186,404829,3,2022-12-08,Good
187,263878,5,2020-03-05,Excellent
188,79925,3,2023-01-22,Excellent
189,353300,5,2023-12-20,Average
190,26182,5,2023-06-11,Good
191,144751,3,2021-04-08,Average
192,495719,5,2021-03-26,Good
193,225762,3,2020-07-09,Average
194,234093,2,2021-06-13,Excellent
195,177113,4,2020-01-19,Good
196,21340,5,2020-02-05,Average
197,432418,2,2022-09-03,Poor
