note_id,application_id,creation_date,note_text
1,167269,2021-09-05,Note text 1
2,376419,2022-08-25,Note text 2
3,218356,2020-02-06,Note text 3
4,172259,2022-09-03,Note text 4
5,85979,2022-04-02,Note text 5
6,222807,2022-09-07,Note text 6
7,396052,2021-01-27,Note text 7
8,356461,2023-06-06,Note text 8
9,35789,2023-04-21,Note text 9
10,209607,2021-03-26,Note text 10
11,409116,2022-10-13,Note text 11
12,22240,2022-11-17,Note text 12
13,262500,2020-08-27,Note text 13
14,223102,2022-05-01,Note text 14
15,342389,2021-08-20,Note text 15
16,32275,2020-06-23,Note text 16
17,396987,2023-06-17,Note text 17
18,372599,2023-03-31,Note text 18
19,148864,2022-06-22,Note text 19
20,216131,2023-05-02,Note text 20
21,335456,2020-12-05,Note text 21
22,170553,2020-02-15,Note text 22
23,29672,2022-01-16,Note text 23
24,111263,2022-04-25,Note text 24
25,70662,2023-05-24,Note text 25
26,497943,2020-01-22,Note text 26
27,76392,2022-09-22,Note text 27
28,492782,2022-02-15,Note text 28
29,412624,2023-08-02,Note text 29
30,159673,2020-07-27,Note text 30
31,103242,2022-12-09,Note text 31
32,464463,2023-06-16,Note text 32
33,445795,2021-04-25,Note text 33
34,205559,2021-03-15,Note text 34
35,6026,2022-03-06,Note text 35
36,452863,2023-05-13,Note text 36
37,441749,2023-06-10,Note text 37
38,62536,2022-04-13,Note text 38
39,142044,2021-01-25,Note text 39
40,365990,2022-10-10,Note text 40
41,244936,2022-06-01,Note text 41
42,193202,2021-11-25,Note text 42
43,32372,2022-10-02,Note text 43
44,459336,2021-03-20,Note text 44
45,65390,2022-02-28,Note text 45
46,15490,2023-03-24,Note text 46
47,86603,2021-03-04,Note text 47
48,345191,2021-01-23,Note text 48
49,475884,2022-02-13,Note text 49
50,99289,2022-06-15,Note text 50
51,325943,2020-05-19,Note text 51
52,274375,2022-05-15,Note text 52
53,425445,2022-05-22,Note text 53
54,133966,2022-01-18,Note text 54
55,440413,2023-05-01,Note text 55
56,70435,2022-05-13,Note text 56
57,376320,2021-05-15,Note text 57
58,436773,2023-03-11,Note text 58
59,433846,2022-12-11,Note text 59
60,430167,2023-08-20,Note text 60
61,307098,2021-08-09,Note text 61
62,195847,2021-08-01,Note text 62
63,491393,2022-07-19,Note text 63
64,6590,2022-12-13,Note text 64
65,102582,2020-10-27,Note text 65
66,321943,2023-01-19,Note text 66
67,397933,2020-05-21,Note text 67
68,402753,2020-10-30,Note text 68
69,317002,2020-08-09,Note text 69
70,451262,2021-01-05,Note text 70
71,76094,2023-03-29,Note text 71
72,325724,2020-01-10,Note text 72
73,212312,2022-07-20,Note text 73
74,418921,2020-03-08,Note text 74
75,272426,2020-12-14,Note text 75
76,378476,2020-08-20,Note text 76
77,354609,2023-07-19,Note text 77
78,380661,2022-12-06,Note text 78
79,19730,2020-01-05,Note text 79
80,184906,2022-06-14,Note text 80
81,433842,2022-01-27,Note text 81
82,106205,2023-04-19,Note text 82
83,298064,2022-06-16,Note text 83
84,360333,2021-02-21,Note text 84
85,426558,2023-01-01,Note text 85
86,334388,2022-05-15,Note text 86
87,159361,2023-10-19,Note text 87
88,415625,2022-08-05,Note text 88
89,364162,2021-12-30,Note text 89
90,27655,2023-10-31,Note text 90
91,392664,2022-01-08,Note text 91
92,181115,2020-08-06,Note text 92
93,163701,2022-04-24,Note text 93
94,198639,2022-08-26,Note text 94
95,195071,2020-09-13,Note text 95
96,414253,2020-01-01,Note text 96
97,46583,2023-02-23,Note text 97
98,50368,2021-05-27,Note text 98
99,98849,2021-11-07,Note text 99
100,273074,2020-07-07,Note text 100
101,306944,2022-11-08,Note text 101
102,55706,2023-10-02,Note text 102
103,351821,2021-03-29,Note text 103
104,43596,2020-06-05,Note text 104
105,427767,2022-10-10,Note text 105
106,310627,2021-08-06,Note text 106
107,192581,2023-08-10,Note text 107
108,220048,2022-11-10,Note text 108
109,167739,2023-02-01,Note text 109
110,396010,2020-10-16,Note text 110
111,322725,2021-10-10,Note text 111
112,342775,2022-06-05,Note text 112
113,294160,2022-03-01,Note text 113
114,35941,2020-05-11,Note text 114
115,394881,2021-01-31,Note text 115
116,305900,2020-05-27,Note text 116
117,260670,2023-08-04,Note text 117
118,65388,2020-01-28,Note text 118
119,24175,2021-08-07,Note text 119
120,53792,2022-03-10,Note text 120
121,362430,2022-01-15,Note text 121
122,323050,2020-11-05,Note text 122
123,98494,2021-08-28,Note text 123
124,475315,2022-05-11,Note text 124
125,442687,2021-05-01,Note text 125
126,283444,2021-11-19,Note text 126
127,41318,2023-12-17,Note text 127
128,158649,2023-05-03,Note text 128
129,408667,2020-10-01,Note text 129
130,447281,2020-07-08,Note text 130
131,200346,2020-02-01,Note text 131
132,321215,2023-09-19,Note text 132
133,94887,2023-01-05,Note text 133
134,17083,2023-12-24,Note text 134
135,174324,2023-09-02,Note text 135
136,320216,2022-11-26,Note text 136
137,462354,2022-01-02,Note text 137
138,232325,2020-07-18,Note text 138
139,298542,2023-03-21,Note text 139
140,206201,2021-03-19,Note text 140
141,49403,2023-12-03,Note text 141
142,131010,2020-02-02,Note text 142
143,59018,2023-05-20,Note text 143
144,343395,2022-01-03,Note text 144
145,280783,2021-03-01,Note text 145
146,427126,2020-11-26,Note text 146
147,301682,2022-01-19,Note text 147
148,6619,2023-08-26,Note text 148
149,48747,2021-05-21,Note text 149
150,417085,2021-08-30,Note text 150
151,397218,2021-03-02,Note text 151
152,435732,2023-07-02,Note text 152
153,71625,2022-05-19,Note text 153
154,169957,2020-10-03,Note text 154
155,442758,2021-08-11,Note text 155
156,60673,2021-12-18,Note text 156
157,433726,2020-12-24,Note text 157
158,222733,2022-02-13,Note text 158
159,393427,2023-06-23,Note text 159
160,58538,2021-01-02,Note text 160
161,337820,2021-05-07,Note text 161
162,417919,2021-10-16,Note text 162
163,384827,2020-04-23,Note text 163
164,402573,2021-03-24,Note text 164
165,382209,2021-11-05,Note text 165
166,439572,2021-05-11,Note text 166
167,159666,2022-08-07,Note text 167
168,177428,2023-02-17,Note text 168
169,49545,2021-01-30,Note text 169
170,452252,2023-02-10,Note text 170
171,213421,2020-08-17,Note text 171
172,359297,2020-02-11,Note text 172
173,208028,2022-04-06,Note text 173
174,281345,2020-08-23,Note text 174
175,268540,2020-09-10,Note text 175
176,30476,2022-05-21,Note text 176
177,219538,2020-01-24,Note text 177
178,40983,2020-02-13,Note text 178
179,247351,2020-09-22,Note text 179
180,255837,2021-07-18,Note text 180
181,223901,2021-09-25,Note text 181
182,120199,2022-10-23,Note text 182
183,175253,2022-08-17,Note text 183
184,389462,2023-10-19,Note text 184
185,87545,2023-04-21,Note text 185
186,363604,2021-10-16,Note text 186
187,289183,2020-12-29,Note text 187
188,395222,2023-08-26,Note text 188
189,225609,2023-11-14,Note text 189
190,376195,2023-12-11,Note text 190
191,402392,2021-05-22,Note text 191
192,584,2023-02-23,Note text 192
193,280121,2022-03-06,Note text 193
194,4381,2023-05-24,Note text 194
195,310551,2023-09-02,Note text 195
196,45849,2021-06-12,Note text 196
197,272475,2021-05-04,Note text 197
198,477016,2023-06-06,Note text 198
199,321298,2023-08-23,Note text 199
200,296917,2021-04-16,Note text 200
201,115607,2020-05-19,Note text 201
202,112555,2023-04-11,Note text 202
203,203511,2022-07-05,Note text 203
204,302172,2021-05-28,Note text 204
205,485462,2023-04-20,Note text 205
206,300781,2023-02-12,Note text 206
207,200574,2023-01-12,Note text 207
208,358674,2021-08-07,Note text 208
209,359138,2020-06-25,Note text 209
210,258663,2020-02-22,Note text 210
211,294695,2023-06-29,Note text 211
212,133351,2020-03-28,Note text 212
213,217793,2023-07-13,Note text 213
214,385520,2023-05-20,Note text 214
215,5081,2023-02-15,Note text 215
216,149239,2023-07-29,Note text 216
217,57340,2020-04-11,Note text 217
218,237443,2021-08-11,Note text 218
219,31287,2020-06-03,Note text 219
220,340819,2023-08-04,Note text 220
221,111211,2020-04-15,Note text 221
222,264311,2021-08-01,Note text 222
223,27599,2022-01-07,Note text 223
224,158408,2022-12-19,Note text 224
225,58895,2023-07-21,Note text 225
226,346011,2023-04-30,Note text 226
227,167156,2021-10-12,Note text 227
228,87900,2020-09-20,Note text 228
229,231840,2023-09-06,Note text 229
230,320983,2022-11-06,Note text 230
231,69033,2023-01-01,Note text 231
232,170997,2022-01-07,Note text 232
233,224014,2020-05-08,Note text 233
234,402423,2023-04-17,Note text 234
235,365628,2020-06-01,Note text 235
236,125776,2022-11-10,Note text 236
237,391264,2021-07-14,Note text 237
238,241810,2021-06-15,Note text 238
239,170791,2021-01-22,Note text 239
240,170216,2023-09-12,Note text 240
241,172360,2023-05-30,Note text 241
242,494826,2022-10-14,Note text 242
243,384056,2023-07-10,Note text 243
244,21191,2022-02-06,Note text 244
245,206417,2022-11-23,Note text 245
246,305632,2022-03-10,Note text 246
247,65346,2022-10-30,Note text 247
248,495972,2021-12-22,Note text 248
249,341370,2021-06-28,Note text 249
250,300567,2022-04-28,Note text 250
251,140998,2020-11-21,Note text 251
252,190469,2022-03-21,Note text 252
253,381230,2022-08-11,Note text 253
254,21534,2021-12-15,Note text 254
255,58323,2023-09-23,Note text 255
256,168826,2020-03-09,Note text 256
257,236404,2022-05-30,Note text 257
258,393384,2020-10-30,Note text 258
259,374852,2020-04-17,Note text 259
260,407935,2022-10-08,Note text 260
261,198560,2023-02-28,Note text 261
262,30106,2021-06-15,Note text 262
263,219139,2023-09-16,Note text 263
264,308654,2020-10-01,Note text 264
265,465731,2021-06-02,Note text 265
266,488866,2020-09-02,Note text 266
267,185506,2021-11-16,Note text 267
268,459588,2020-02-29,Note text 268
269,220815,2020-09-05,Note text 269
270,326840,2021-11-20,Note text 270
271,176174,2020-11-19,Note text 271
272,69469,2022-01-20,Note text 272
273,231574,2021-03-27,Note text 273
274,312474,2023-03-13,Note text 274
275,60024,2023-08-07,Note text 275
276,147325,2021-07-13,Note text 276
277,393450,2022-06-18,Note text 277
278,131814,2020-05-12,Note text 278
279,44635,2021-07-20,Note text 279
280,343084,2022-01-15,Note text 280
281,29499,2020-10-01,Note text 281
282,344305,2021-02-24,Note text 282
283,471850,2020-12-24,Note text 283
284,334352,2021-06-29,Note text 284
285,72147,2021-03-16,Note text 285
286,330864,2020-02-05,Note text 286
287,1507,2021-03-29,Note text 287
288,463849,2021-03-04,Note text 288
289,402899,2021-10-07,Note text 289
290,45605,2022-03-22,Note text 290
291,498798,2020-02-19,Note text 291
292,106286,2021-12-07,Note text 292
293,358699,2023-08-15,Note text 293
294,290719,2022-05-06,Note text 294
295,105305,2023-06-19,Note text 295
296,152676,2020-03-28,Note text 296
297,394936,2020-01-18,Note text 297
298,23284,2021-02-03,Note text 298
299,254364,2023-05-09,Note text 299
300,279288,2023-08-02,Note text 300
301,383689,2020-12-31,Note text 301
302,179140,2021-10-16,Note text 302
303,313347,2023-05-31,Note text 303
304,335575,2022-09-29,Note text 304
305,111018,2021-12-31,Note text 305
306,401893,2022-12-26,Note text 306
307,1552,2021-07-12,Note text 307
308,431721,2022-05-20,Note text 308
