position_id,company_id,job_title,description
1,364,Developer,Desc A
2,700,Manager,Desc E
3,309,Consultant,Desc A
4,842,Analyst,Desc B
5,879,Manager,Desc D
6,606,Analyst,Desc B
7,543,Developer,Desc B
8,54,Manager,Desc B
9,242,Developer,Desc C
10,967,Developer,Desc D
11,586,Manager,Desc E
12,566,Developer,Desc A
13,95,Engineer,Desc A
14,81,Consultant,Desc C
15,453,Developer,Desc A
16,231,Manager,Desc A
17,184,Consultant,Desc C
18,698,Analyst,Desc C
19,17,Analyst,Desc C
20,967,Developer,Desc D
21,734,Manager,Desc D
22,795,Analyst,Desc D
23,795,Engineer,Desc D
24,125,Analyst,Desc A
25,781,Manager,Desc B
26,370,Consultant,Desc E
27,630,Engineer,Desc D
28,558,Consultant,Desc C
29,110,Consultant,Desc B
30,502,Analyst,Desc B
31,985,Engineer,Desc B
32,886,Analyst,Desc A
33,502,Developer,Desc A
34,411,Analyst,Desc C
35,469,Consultant,Desc C
36,814,Manager,Desc B
37,964,Analyst,Desc B
38,913,Consultant,Desc E
39,599,Manager,Desc E
40,647,Analyst,Desc B
41,907,Manager,Desc E
42,896,Engineer,Desc D
43,567,Consultant,Desc B
44,334,Engineer,Desc B
45,285,Consultant,Desc B
46,901,Developer,Desc B
47,968,Engineer,Desc E
48,610,Engineer,Desc E
49,892,Engineer,Desc C
50,340,Analyst,Desc A
51,914,Manager,Desc A
52,545,Developer,Desc A
53,878,Manager,Desc E
54,175,Consultant,Desc C
55,884,Consultant,Desc C
56,692,Engineer,Desc B
57,26,Developer,Desc C
58,45,Analyst,Desc D
59,936,Analyst,Desc C
60,909,Engineer,Desc E
61,456,Developer,Desc B
62,653,Manager,Desc E
63,763,Engineer,Desc C
64,626,Consultant,Desc C
65,560,Analyst,Desc D
66,464,Consultant,Desc A
67,943,Developer,Desc D
68,484,Consultant,Desc B
69,724,Developer,Desc E
70,416,Analyst,Desc A
71,405,Manager,Desc D
72,938,Consultant,Desc D
73,476,Developer,Desc B
74,695,Engineer,Desc B
75,752,Manager,Desc B
76,531,Analyst,Desc E
77,844,Engineer,Desc E
78,824,Analyst,Desc D
79,969,Consultant,Desc B
80,882,Manager,Desc C
81,215,Analyst,Desc C
82,560,Engineer,Desc A
